date,open,high,low,close,volume,rsi_7,rsi_14,cci_7,cci_14,sma_50,ema_50,sma_100,ema_100,macd,bollinger,TrueRange,atr_7,atr_14,next_day_close
2014/1/2,52.401428,52.511429,51.542858,51.831429,12325600,34.729663839045244,49.183583659838305,-89.57320132,-131.2885795,50.11282836,50.23515654653996,46.3854284,46.65069823742157,0.7519293877650668,52.607357,1.052856999999996,1.1611821630156958,1.2477484753574715,51.871429
2014/1/3,52,52.495712,51.842857,51.871429,10817100,35.58788607651576,49.457208401644785,-65.82058129,-103.0261888,50.22877119999999,50.29932657293592,46.53757126000001,46.75472597812036,0.624258746723747,52.65614275,0.6642829999999975,1.0901965682991674,1.206072369696197,51.367142
2014/1/6,51.889999,52.044285,50.475716,51.367142,15501500,29.820673799625965,46.08790036269541,-121.4725592,-139.6405656,50.31257117999999,50.34120324217589,46.68097126000001,46.84662111496858,0.47688980873572007,52.66692845,1.5685690000000037,1.1585354871135727,1.231964986307193,48.5
2014/1/7,49.684284,49.69857,48.152859,48.5,36167600,14.371863356546385,32.52209136587231,-206.7621714,-238.0291203,50.33622834,50.26899661827804,46.79195698,46.87955808943144,0.12727729313998282,52.5602142,3.2142830000000018,1.4522137032402054,1.3735591309585369,48.712856
2014/1/8,48.104286,49.425713,48.074287,48.712856,20001100,18.04904509190382,34.07354875015713,-117.8367067,-180.7668014,50.373256919999996,50.20796940486351,46.91707127000001,46.9160748857679,-0.131106134,52.455356949999995,1.3514260000000036,1.4378154599201767,1.3719781930244657,48.150002
2014/1/9,48.824287,49.139999,47.857143,48.150002,17007200,15.937606948821184,31.979691589159543,-88.16874863,-153.8399267,50.4391141,50.1272621437251,47.028756990000005,46.940650165657296,-0.376949239,52.2692856,1.2828560000000024,1.4156783942172946,1.3656123220625087,47.44857
2014/1/10,48.295715,48.377144,47.218571,47.44857,16237900,13.62092077157051,29.543216566509457,-87.12500122,-138.8479734,50.45294268,50.022212070181006,47.13212842,46.95076490012064,-0.62122033,52.041856949999996,1.158573000000004,1.3789490521862529,1.3508237989897958,48.115715
2014/1/13,47.304287,49.810001,47.304287,48.115715,27237000,25.618425094434144,34.643516467214525,-46.1218656,-92.97432354,50.506285580000004,49.94744520700593,47.22287129,46.97396116041459,-0.752301837,51.78099995,2.5057139999999976,1.539915473302502,1.4333159565583147,48.279999
2014/1/14,48.777142,48.799999,47.509998,48.279999,19740000,28.472574865574728,35.87453097786059,-54.55599414,-83.14457704,50.55051418,49.88205325032363,47.31942840999999,46.999963876632044,-0.833322506,51.559499949999996,1.2900009999999966,1.5042134056878584,1.4230791739062718,47.197144
2014/1/15,47.857143,48.367142,45.581429,47.197144,40432000,21.985261782663358,31.643736098915184,-162.1187048,-102.2269298,50.55368565999999,49.776759737637356,47.40604272,47.00388923530565,-0.973685281,51.30285705,2.785713000000001,1.6872847763038787,1.520410161844032,47.382858
2014/1/16,46.915714,47.695713,46.002857,47.382858,21135800,25.38679665498175,33.100921774325954,-103.774383,-91.63459107,50.53677136,49.682878707714,47.48221417,47.01143275127262,-1.057745195,50.99435715,1.692855999999999,1.6880806654033245,1.5327277217545776,47.148571
2014/1/17,47.438572,47.831429,46.89143,47.148571,16417100,23.855904834569884,32.169244155015335,-54.69124201,-75.62152913,50.50402852,49.58349151795928,47.54981415,47.014162257533755,-1.130239587,50.66435725,0.9399990000000003,1.5812118560599924,1.4903899557800775,46.958572
2014/1/21,47.46143,47.495712,45.75,46.958572,25220300,22.568292260742922,31.397439116734162,-95.25652555,-90.17239788,50.48425708,49.48055093640194,47.62505703000001,47.013055939037784,-1.18931358,50.321285849999995,1.7457119999999975,1.6047118766228503,1.5086272447068825,47.675713
2014/1/22,47.07143,47.777142,46.764286,47.675713,48342000,37.43793176954388,37.493251364482425,-5.306036383,-60.07086482,50.50388562,49.40977128611752,47.69701416,47.026242367543375,-1.164835363,50.021714249999995,1.0128559999999993,1.5201610371053,1.4732150128448243,55.531429
2014/1/23,55.342857,56.51857,53.927143,55.531429,91280000,81.88810641561929,69.48257456283818,233.33333333333334,249.71416571574952,50.65765706,49.64984180835811,47.84111416,47.19547337036707,-0.505715993,50.0798571,8.842856999999995,2.566260460375971,1.9996180132701256,55.154285
2014/1/24,54.811428,55.814285,54.76857,55.154285,35466900,78.75407304600826,67.69148101042191,115.86839148818652,196.98240580289442,50.79528560000001,49.86570708916513,47.9870713,47.35381783010586,-0.013634344,50.134785650000005,1.0457150000000013,2.3490396803222606,1.9314820835894393,54.46143
2014/1/27,55.341431,55.92857,52.937141,54.46143,32526900,72.7837331432634,64.40679477087076,68.07892791487541,140.12564616168345,50.93099994,50.045935338164035,48.11882847,47.49521403725611,0.3167846044585474,50.165500099999996,2.9914290000000037,2.4408095831333667,2.0071925777852893,58.110001
2014/1/28,54.474285,58.201427,54.394287,58.110001,43590400,81.43185483027251,72.08781404232832,81.56986688467961,146.512057233428,51.13525708,50.36217964919724,48.28217132999999,47.706361330685816,0.8631038645184077,50.446000149999996,3.807140000000004,2.6359996426857433,2.135760251063209,57.202858
